Index,Diameter (um),Volume (pL)
1,24.99,8.17
2,24.98,8.16
3,25.35,8.53
4,24.85,8.04
5,24.75,7.94
6,25.19,8.37
7,24.84,8.02
8,24.54,7.74
9,24.76,7.95
10,24.54,7.74
11,24.89,8.07
12,25.2,8.38
13,24.46,7.66
14,24.59,7.78
15,24.64,7.83
16,24.46,7.67
17,25.03,8.21
18,24.53,7.73
19,24.73,7.92
20,25.25,8.43
21,25.06,8.24
22,25.05,8.23
23,24.54,7.74
24,24.2,7.42
25,25.42,8.6
26,24.65,7.84
27,24.99,8.17
28,24.76,7.95
29,24.89,8.07
30,24.79,7.98
31,24.85,8.03
32,25.03,8.21
33,25.14,8.32
34,24.97,8.15
35,25.36,8.54
36,24.97,8.15
37,24.74,7.93
38,25.08,8.26
39,24.61,7.81
40,24.65,7.84
41,24.84,8.03
42,24.87,8.05
43,24.61,7.8
44,24.68,7.87
45,24.73,7.91
46,24.64,7.84
47,25.03,8.21
48,24.7,7.89
49,24.32,7.54
50,24.96,8.14
51,25.11,8.29
52,24.94,8.12
53,24.69,7.88
54,24.7,7.89
55,24.96,8.14
56,24.91,8.09
57,25.05,8.23
58,24.72,7.91
59,24.53,7.73
60,24.52,7.71
61,25.05,8.23
62,25.03,8.21
63,24.55,7.75
64,24.47,7.68
65,24.79,7.98
66,24.6,7.8
67,25.25,8.43
68,24.68,7.87
69,24.68,7.87
70,25.22,8.4
71,25.04,8.22
72,25.07,8.25
73,24.75,7.94
74,24.37,7.58
75,24.51,7.71
76,24.66,7.85
77,24.81,7.99
78,25.37,8.55
79,24.5,7.7
80,24.51,7.71
81,24.39,7.59
82,24.72,7.91
83,23.86,7.11
84,24.94,8.12
85,25.24,8.41
86,24.32,7.53
87,24.46,7.67
88,24.54,7.74
89,24.34,7.55
90,24.55,7.75
91,24.75,7.94
92,24.57,7.77
93,24.26,7.48
94,24.64,7.84
95,24.94,8.13
96,24.9,8.08
97,25.01,8.19
98,23.81,7.06
99,25.03,8.21
100,23.94,7.18
101,24.65,7.85
102,24.42,7.63
103,24.95,8.14
104,25.51,8.7
105,24.85,8.03
106,24.59,7.79
107,24.47,7.67
108,24.49,7.69
109,24.28,7.49
110,25.06,8.24
111,24.53,7.72
112,23.92,7.17
113,24.16,7.38
114,24.53,7.73
115,24.95,8.14
116,24.87,8.06
117,24.57,7.77
118,24.79,7.98
119,24.26,7.48

SUMMARY
Total droplets,119
Mean diameter (um),24.75
Std diameter (um),0.32
CV diameter,0.0131
Mean volume (pL),7.94
Std volume (pL),0.31
